time,open,high,low,close,volume
1473912000,12.21,12.21,0,0,1
1473998400,33.16,33.16,0,0,2
1474257600,7.77,7.77,0,0,1
1474344000,16.75,16.75,0,0,1
1474430400,26.17,26.17,0,0,1
1474516800,11.19,11.19,0,0,1
1474603200,68.5,68.5,0,0,3
1474862400,47.81,47.81,0,0,2
1474948800,52.02,52.02,0,0,3
1475035200,30.9,30.9,0,0,2
1475121600,13.39,13.39,0,0,1
1475208000,28.56,28.56,0,0,1
1475467200,31.02,31.02,0,0,2
1475553600,63.81,63.81,0,0,3
1475640000,44.71,44.71,0,0,2
1475726400,3.49,3.49,0,0,1
1475812800,23.16,23.16,0,0,1
1476072000,30.23,30.23,0,0,2
1476158400,61.06,61.06,0,0,3
1476244800,23.55,23.55,0,0,1
1476331200,16.12,16.12,0,0,1
1476417600,46.53,46.53,0,0,2
1476676800,42.66,42.66,0,0,2
1476763200,31.46,31.46,0,0,2
1476849600,26.48,26.48,0,0,1
1476936000,17.87,17.87,0,0,1
1477022400,26.96,26.96,0,0,1
1477281600,31.91,31.91,0,0,2
1477368000,17.75,17.75,0,0,1
1477454400,28.79,28.79,0,0,1
1477540800,61.13,61.13,0,0,3
1477627200,37.37,37.37,0,0,2
1477886400,46.84,46.84,0,0,2
1477972800,43.05,43.05,0,0,2
1478059200,33.81,33.81,0,0,2
1478145600,45.21,45.21,0,0,2
1478232000,36.86,36.86,0,0,2
1478494800,62.15,62.15,0,0,3
1478581200,52.1,52.1,0,0,3
1478667600,69.15,69.15,0,0,3
1478754000,69.8,69.8,0,0,3
1478840400,60.07,60.07,0,0,3
1479099600,69.02,69.02,0,0,3
1479186000,68.01,68.01,0,0,3
1479272400,41.24,41.24,0,0,2
1479358800,28.47,28.47,0,0,1
1479445200,66.74,66.74,0,0,3
1479704400,35.59,35.59,0,0,2
1479790800,20.31,20.31,0,0,1
1479877200,52.02,52.02,0,0,3
1480050000,20.86,20.86,0,0,1
1480309200,62.44,62.44,0,0,3
1480395600,57.14,57.14,0,0,3
1480482000,66.09,66.09,0,0,3
1480568400,56.24,56.24,0,0,3
1480654800,61.45,61.45,0,0,3
1480914000,3.35,3.35,0,0,1
1481000400,62.03,62.03,0,0,3
1481086800,63.5,63.5,0,0,3
1481173200,34.89,34.89,0,0,2
1481259600,24.65,24.65,0,0,1
1481518800,46.12,46.12,0,0,2
1481605200,4.51,4.51,0,0,1
1481691600,66.01,66.01,0,0,3
1481778000,68.25,68.25,0,0,3
1481864400,31.75,31.75,0,0,2
1482123600,33.03,33.03,0,0,2
1482210000,10.02,10.02,0,0,1
1482296400,60.23,60.23,0,0,3
1482382800,32.44,32.44,0,0,2
1482469200,50.15,50.15,0,0,3
1482814800,9.87,9.87,0,0,1
1482901200,25.15,25.15,0,0,1
1482987600,39.95,39.95,0,0,2
1483074000,29.02,29.02,0,0,1
1483419600,64.88,64.88,0,0,3
1483506000,11.87,11.87,0,0,1
1483592400,47.43,47.43,0,0,2
1483678800,13.56,13.56,0,0,1
1483938000,23.58,23.58,0,0,1
1484024400,3.69,3.69,0,0,1
1484110800,18.92,18.92,0,0,1
1484197200,13.51,13.51,0,0,1
1484283600,7.63,7.63,0,0,1
1484629200,8.47,8.47,0,0,1
1484715600,54.21,54.21,0,0,3
1484802000,40.2,40.2,0,0,2
1484888400,13.25,13.25,0,0,1
1485147600,9.26,9.26,0,0,1
1485234000,3.77,3.77,0,0,1
1485320400,37.31,37.31,0,0,2
1485406800,39.75,39.75,0,0,2
1485493200,10.29,10.29,0,0,1
1485752400,14.48,14.48,0,0,1
1485838800,15.11,15.11,0,0,1
1485925200,18.23,18.23,0,0,1
1486011600,8.04,8.04,0,0,1
1486098000,27.1,27.1,0,0,1
1486357200,36.57,36.57,0,0,2
1486443600,16.89,16.89,0,0,1
1486530000,1.71,1.71,0,0,1
1486616400,6.21,6.21,0,0,1
1486702800,13.07,13.07,0,0,1
1486962000,2.93,2.93,0,0,1
1487048400,11.14,11.14,0,0,1
1487134800,37.28,37.28,0,0,2
1487221200,26.0,26.0,0,0,1
1487307600,14.41,14.41,0,0,1
1487653200,32.39,32.39,0,0,2
1487739600,4.42,4.42,0,0,1
1487826000,0.08,0.08,0,0,1
1487912400,53.47,53.47,0,0,3
1488171600,15.31,15.31,0,0,1
1488258000,49.94,49.94,0,0,2
1488344400,61.3,61.3,0,0,3
1488430800,49.21,49.21,0,0,2
1488517200,20.87,20.87,0,0,1
1488776400,19.84,19.84,0,0,1
1488862800,56.27,56.27,0,0,3
1488949200,50.02,50.02,0,0,3
1489035600,14.16,14.16,0,0,1
1489122000,29.12,29.12,0,0,1
1489377600,53.12,53.12,0,0,3
1489464000,7.59,7.59,0,0,1
1489550400,67.69,67.69,0,0,3
1489636800,42.32,42.32,0,0,2
1489723200,1.37,1.37,0,0,1
1489982400,12.15,12.15,0,0,1
1490068800,45.25,45.25,0,0,2
1490155200,9.28,9.28,0,0,1
1490241600,9.21,9.21,0,0,1
1490328000,45.44,45.44,0,0,2
1490587200,5.49,5.49,0,0,1
1490673600,17.86,17.86,0,0,1
1490760000,3.09,3.09,0,0,1
1490846400,29.62,29.62,0,0,1
1490932800,10.89,10.89,0,0,1
1491192000,3.82,3.82,0,0,1
1491278400,15.16,15.16,0,0,1
1491364800,17.71,17.71,0,0,1
1491451200,4.34,4.34,0,0,1
1491537600,26.79,26.79,0,0,1
1491796800,3.83,3.83,0,0,1
1491883200,47.8,47.8,0,0,2
1491969600,4.06,4.06,0,0,1
1492056000,6.87,6.87,0,0,1
1492401600,53.76,53.76,0,0,3
1492488000,40.42,40.42,0,0,2
1492574400,37.37,37.37,0,0,2
1492660800,16.3,16.3,0,0,1
1492747200,18.76,18.76,0,0,1
1493006400,65.13,65.13,0,0,3
1493092800,20.74,20.74,0,0,1
1493179200,33.88,33.88,0,0,2
1493265600,45.7,45.7,0,0,2
1493352000,22.77,22.77,0,0,1
1493611200,15.19,15.19,0,0,1
1493697600,19.8,19.8,0,0,1
1493784000,49.49,49.49,0,0,2
1493870400,65.66,65.66,0,0,3
1493956800,23.47,23.47,0,0,1
1494216000,21.81,21.81,0,0,1
1494302400,28.28,28.28,0,0,1
1494388800,32.56,32.56,0,0,2
1494475200,13.34,13.34,0,0,1
1494561600,44.25,44.25,0,0,2
1494820800,27.3,27.3,0,0,1
1494907200,27.08,27.08,0,0,1
1494993600,69.27,69.27,0,0,3
1495080000,61.74,61.74,0,0,3
1495166400,47.4,47.4,0,0,2
1495425600,15.93,15.93,0,0,1
1495512000,23.42,23.42,0,0,1
1495598400,9.71,9.71,0,0,1
1495684800,53.31,53.31,0,0,3
1495771200,25.37,25.37,0,0,1
1496116800,26.36,26.36,0,0,1
1496203200,28.16,28.16,0,0,1
1496289600,7.38,7.38,0,0,1
1496376000,29.46,29.46,0,0,1
1496635200,10.74,10.74,0,0,1
1496721600,19.22,19.22,0,0,1
1496808000,36.05,36.05,0,0,2
1496894400,19.94,19.94,0,0,1
1496980800,30.83,30.83,0,0,2
1497240000,38.75,38.75,0,0,2
1497326400,16.5,16.5,0,0,1
1497412800,62.85,62.85,0,0,3
1497499200,54.47,54.47,0,0,3
1497585600,18.04,18.04,0,0,1
1497844800,21.61,21.61,0,0,1
1497931200,32.09,32.09,0,0,2
1498017600,61.96,61.96,0,0,3
1498104000,10.18,10.18,0,0,1
1498190400,22.96,22.96,0,0,1
1498449600,39.06,39.06,0,0,2
1498536000,63.53,63.53,0,0,3
1498622400,44.6,44.6,0,0,2
1498708800,58.38,58.38,0,0,3
1498795200,37.09,37.09,0,0,2
1499054400,52.25,52.25,0,0,3
1499227200,48.53,48.53,0,0,2
1499313600,40.21,40.21,0,0,2
1499400000,35.53,35.53,0,0,2
1499659200,39.0,39.0,0,0,2
1499745600,16.45,16.45,0,0,1
1499832000,27.38,27.38,0,0,1
1499918400,29.28,29.28,0,0,1
1500004800,41.04,41.04,0,0,2
1500264000,33.01,33.01,0,0,2
1500350400,39.33,39.33,0,0,2
1500436800,16.76,16.76,0,0,1
1500523200,27.93,27.93,0,0,1
1500609600,29.94,29.94,0,0,1
1500868800,45.82,45.82,0,0,2
1500955200,33.56,33.56,0,0,2
1501041600,39.13,39.13,0,0,2
1501128000,25.75,25.75,0,0,1
1501214400,9.04,9.04,0,0,1
1501473600,0.84,0.84,0,0,1
1501560000,27.75,27.75,0,0,1
1501646400,15.36,15.36,0,0,1
1501732800,38.63,38.63,0,0,2
1501819200,48.87,48.87,0,0,2
1502078400,6.62,6.62,0,0,1
1502164800,53.96,53.96,0,0,3
1502251200,55.64,55.64,0,0,3
1502337600,61.39,61.39,0,0,3
1502424000,44.81,44.81,0,0,2
1502683200,63.66,63.66,0,0,3
1502769600,28.0,28.0,0,0,1
1502856000,42.85,42.85,0,0,2
1502942400,53.76,53.76,0,0,3
1503028800,63.93,63.93,0,0,3
